2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogID), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogMinLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogMinLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrMinLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrMinLevel), using default
2025-11-15T06:07:04Z sdrsInjector[2098923]: Updated vsi config flags to 0, 0
2025-11-15T06:07:04Z sdrsInjector[2098923]: host Uuid: 3a4fce74-dcaf-bab0-d120-5cf3fce846f8
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogID), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogID), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogMinLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogMinLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrMinLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrMinLevel), using default
2025-11-15T20:03:31Z sdrsInjector[2098923]: Updated vsi config flags to 0, 0
2025-11-15T20:03:31Z sdrsInjector[2098923]: host Uuid: 3a4fce74-dcaf-bab0-d120-5cf3fce846f8
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogID), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogID), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogMinLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogMinLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrMinLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrMinLevel), using default
2025-11-16T05:14:32Z sdrsInjector[2098923]: Updated vsi config flags to 0, 0
2025-11-16T05:14:32Z sdrsInjector[2098923]: host Uuid: 3a4fce74-dcaf-bab0-d120-5cf3fce846f8
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogID), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogID), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogMinLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogMinLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(log.stderrMinLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.stderrMinLevel), using default
2025-12-06T23:50:32Z sdrsInjector[2098923]: Updated vsi config flags to 0, 0
2025-12-06T23:50:32Z sdrsInjector[2098923]: host Uuid: 3a4fce74-dcaf-bab0-d120-5cf3fce846f8
2025-12-08T11:31:41Z sdrsInjector[2098923]: PREF early PreferenceGet(log.syslogID), using default
2025-12-08T11:31:41Z sdrsInjector[2098923]: PREF early PreferenceGet(sdrsInjector.log.syslogID), using default
