host: SGRL-ESX01
time: 2026-01-10T09:42:08 UTC
GID                  PATH                                                                                                                            
188                  /host/system/kernel/heap:HELPER_NETWORK_MISC_QUEUE+0x3e
189                  /host/system/kernel/heap:HELPER_WATCHDOG_QUEUE+0x3f
190                  /host/system/kernel/heap:HELPER_MISC_INFRA_QUEUE+0x40
191                  /host/system/kernel/heap:HELPER_VMXNET3_PT_QUEUE+0x41
192                  /host/system/kernel/heap:HELPER_VMXNET3_STATS_QUEUE+0x42
193                  /host/system/kernel/heap:HELPER_PT_MANAGER_QUEUE+0x43
194                  /host/system/kernel/heap:HELPER_PAGERETIRE_QUEUE+0x44
195                  /host/system/kernel/heap:HELPER_IODM_QUEUE+0x45
196                  /host/system/kernel/heap:HELPER_USERMEM_QUEUE+0x46
197                  /host/system/kernel/heap:HELPER_DEVICE_LAYER_QUEUE+0x47
198                  /host/system/kernel/heap:HELPER_READCAPACITY_QUEUE+0x48
199                  /host/system/kernel/heap:pframeVMMap+0x49
200                  /host/system/kernel/heap:Swap+0x4a
201                  /host/system/kernel/llswap
202                  /host/system/kernel/heap:llswap+0x4b
203                  /host/system/kernel/heap:memzip+0x4c
204                  /host/system/kernel/heap:ChipsetHeap+0x4d
205                  /host/system/kernel/heap:IOAPICHeap+0x4e
206                  /host/system/kernel/heap:PCIHeap+0x4f
209                  /host/system/kernel/heap:LPage+0x51
210                  /host/system/kernel/LPage
211                  /host/system/kernel/heap:swatchHeap+0x52
212                  /host/system/kernel/heap:devlayer+0x53
213                  /host/system/kernel/heap:ioresource+0x54
214                  /host/system/kernel/heap:deviceNameHeap+0x55
215                  /host/system/kernel/heap:fsSwitch+0x56
216                  /host/system/kernel/heap:FSGeneric+0x57
217                  /host/system/kernel/heap:FSDisk+0x58
218                  /host/system/kernel/dentryCache
219                  /host/system/kernel/heap:objectCache+0x59
220                  /host/system/kernel/heap:objectNameCache+0x5a
221                  /host/system/kernel/heap:volumeCache+0x5b
222                  /host/system/kernel/heap:visorfs+0x5c
223                  /host/system/kernel/VisorFSInodeTable
